City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
409,mar del plata,-38.0023,-57.5575,15.01,92,0,1.54,AR,1697956969
410,bani walid,31.7566,13.9942,22.21,63,12,1.64,LY,1697956969
411,balugaon,20.1667,85.1,29.63,43,96,2.69,IN,1697956970
412,taber,49.8167,-112.1518,8.11,76,100,5.66,CA,1697956753
413,nasir,15.5894,32.5634,32.57,15,92,7.32,SD,1697956971
414,nelson bay,-32.7167,152.15,25.05,80,12,2.24,AU,1697956971
415,zhanga buqtyrma,49.6295,83.5248,10.34,74,100,2.25,KZ,1697956972
416,hammerfest,70.6634,23.6821,2.25,87,75,3.6,NO,1697956973
417,mogocha,53.7333,119.7667,5.44,36,11,2.39,RU,1697956973
418,fauske,67.2588,15.3918,1.08,51,92,3.34,NO,1697956974
419,saint-francois,46.4154,3.9054,9.25,88,0,2.06,FR,1697956974
420,piacabucu,-10.4056,-36.4344,23.29,89,65,2.35,BR,1697956975
421,pionerskiy,54.9508,20.2275,8.91,90,100,3.06,RU,1697956975
422,moreni,44.9833,25.65,24.14,33,85,3.99,RO,1697956976
423,mombetsu,44.3525,143.3525,8.01,76,75,2.06,JP,1697956976
424,katangi,23.45,79.7833,29.59,36,0,2.74,IN,1697956977
425,amga,60.8953,131.9608,-1.94,87,100,4.92,RU,1697956978
426,lhasa,29.65,91.1,12.31,26,30,3.47,CN,1697956979
427,thurso,58.5927,-3.5259,8.25,85,77,5.23,GB,1697956979
428,malindi,-3.2175,40.1191,29.09,65,40,3.6,KE,1697956980
429,chui,-33.6971,-53.4616,16.83,91,100,4.02,UY,1697956980
430,arkhara,49.4212,130.0842,5.9,39,6,6.07,RU,1697956981
431,neiafu,-18.65,-173.9833,26.38,83,20,1.03,TO,1697956981
432,stjordalshalsen,63.4681,10.9262,5.0,56,0,6.17,NO,1697956982
433,canatlan,24.5167,-104.7833,13.77,75,92,1.18,MX,1697956983
434,szczytno,53.5626,20.9875,8.96,100,75,2.06,PL,1697956983
435,kenai,60.5544,-151.2583,-6.97,93,0,1.54,US,1697956984
436,aztec,36.8222,-107.9929,12.18,100,0,3.08,US,1697956984
437,vytegra,61.0064,36.4481,0.82,78,100,1.99,RU,1697956985
